sw2_path,sw3_url,match_type,confidence,sw3_title,needs_review
/Catalogue/Business-Economy-and-Labour-Market/Businesses/Business-Demography/businessbirthsdeathsactiveenterprises-by-variable-area-sic03industry,https://stats.gov.wales/en-GB/topic/1/business-economy-labour-market,category_fallback,0.0,,False
/Catalogue/Business-Economy-and-Labour-Market/Businesses/Business-Demography/businessbirthsdeathsactiveenterprisesinwales-by-industry-variable-year,https://stats.gov.wales/en-GB/topic/1/business-economy-labour-market,category_fallback,0.0,,False
/Catalogue/Business-Economy-and-Labour-Market/Businesses/Business-Demography/businessbirthsrates-by-area-year,https://stats.gov.wales/en-GB/topic/1/business-economy-labour-market,category_fallback,0.0,,False
/Catalogue/Business-Economy-and-Labour-Market/Businesses/Business-Demography/businessdeaths-by-area-year,https://stats.gov.wales/en-GB/topic/1/business-economy-labour-market,category_fallback,0.0,,False
/Catalogue/Business-Economy-and-Labour-Market/Businesses/Business-Demography/businessdeathsrates-by-area-year,https://stats.gov.wales/en-GB/topic/1/business-economy-labour-market,category_fallback,0.0,,False
/Catalogue/Business-Economy-and-Labour-Market/Businesses/Business-Demography/businesssurvivalrates-by-area-survivalyear,https://stats.gov.wales/en-GB/topic/1/business-economy-labour-market,category_fallback,0.0,,False
/Catalogue/Business-Economy-and-Labour-Market/Businesses/Business-Demography/businesssurvivalratesinwales-by-survivalyear-birthyear,https://stats.gov.wales/en-GB/topic/1/business-economy-labour-market,category_fallback,0.0,,False
/Catalogue/Business-Economy-and-Labour-Market/Businesses/Business-Structure,https://stats.gov.wales/en-GB/topic/1/business-economy-labour-market,category,1.0,,False
/Catalogue/Business-Economy-and-Labour-Market/Businesses/Business-Structure/Headline-Data,https://stats.gov.wales/en-GB/topic/1/business-economy-labour-market,category,1.0,,False
/Catalogue/Business-Economy-and-Labour-Market/Businesses/Business-Structure/Headline-Data/employment-by-industry-sic2007-sizeband-area,https://stats.gov.wales/en-GB/topic/1/business-economy-labour-market,category_fallback,0.0,,False
/Catalogue/Business-Economy-and-Labour-Market/Businesses/Business-Structure/Headline-Data/employment-by-ownership-sizeband-area-year,https://stats.gov.wales/en-GB/topic/1/business-economy-labour-market,category_fallback,0.0,,False
/Catalogue/Business-Economy-and-Labour-Market/Businesses/Business-Structure/Headline-Data/employment-by-sizeband-area-year,https://stats.gov.wales/en-GB/topic/1/business-economy-labour-market,category_fallback,0.0,,False
/Catalogue/Business-Economy-and-Labour-Market/Businesses/Business-Structure/Headline-Data/enterprises-by-industry-sic2003-sizeband-area,https://stats.gov.wales/en-GB/topic/1/business-economy-labour-market,category_fallback,0.0,,False
/Catalogue/Business-Economy-and-Labour-Market/Businesses/Business-Structure/Headline-Data/enterprises-by-industry-sic2007-sizeband-area,https://stats.gov.wales/en-GB/topic/1/business-economy-labour-market,category_fallback,0.0,,False
/Catalogue/Business-Economy-and-Labour-Market/Businesses/Business-Structure/Headline-Data/enterprises-by-ownership-sizeband-area-year,https://stats.gov.wales/en-GB/topic/1/business-economy-labour-market,category_fallback,0.0,,False
/Catalogue/Business-Economy-and-Labour-Market/Businesses/Business-Structure/Headline-Data/enterprises-by-sizeband-area-year,https://stats.gov.wales/en-GB/topic/1/business-economy-labour-market,category_fallback,0.0,,False
/Catalogue/Business-Economy-and-Labour-Market/Businesses/Business-Structure/Headline-Data/latestbusinessstructureinwales-by-sizeband-measure,https://stats.gov.wales/en-GB/topic/1/business-economy-labour-market,category_fallback,0.0,,False
/Catalogue/Business-Economy-and-Labour-Market/Businesses/Business-Structure/Headline-Data/turnover-by-industry-sic2007-sizeband-area,https://stats.gov.wales/en-GB/topic/1/business-economy-labour-market,category_fallback,0.0,,False
/Catalogue/Business-Economy-and-Labour-Market/Businesses/Business-Structure/Headline-Data/turnover-by-ownership-sizeband-area-year,https://stats.gov.wales/en-GB/topic/1/business-economy-labour-market,category_fallback,0.0,,False
